accession	family	genus	species	fasta_obtained	json_obtained	eggnog_obtained	fasta_file_name
GCF_000956465.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium trichothecenolyticum	FALSE	FALSE	FALSE	NA
GCF_001422925.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001422925	FALSE	FALSE	FALSE	NA
GCF_003386735.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium trichothecenolyticum_A	FALSE	FALSE	FALSE	NA
GCF_009858275.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp009858275	FALSE	FALSE	FALSE	NA
GCF_010634855.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp010634855	FALSE	FALSE	FALSE	NA
GCF_015278355.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium yannicii_B	FALSE	FALSE	FALSE	NA
GCF_015278255.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hibisci	FALSE	FALSE	FALSE	NA
GCF_015278315.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ureisolvens	FALSE	FALSE	FALSE	NA
GCF_900292075.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium timonense	FALSE	FALSE	FALSE	NA
GCF_001428485.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001428485	FALSE	FALSE	FALSE	NA
GCF_012847295.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp012847295	FALSE	FALSE	FALSE	NA
GCF_016907635.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium insulae	FALSE	FALSE	FALSE	NA
GCF_014837165.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014837165	FALSE	FALSE	FALSE	NA
GCF_018588945.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium flavescens	FALSE	FALSE	FALSE	NA
GCF_001427145.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001427145	FALSE	FALSE	FALSE	NA
GCF_003999995.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003999995	FALSE	FALSE	FALSE	NA
GCF_005502885.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp005502885	FALSE	FALSE	FALSE	NA
GCF_013409015.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013409015	FALSE	FALSE	FALSE	NA
GCF_014208045.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium thalassium	FALSE	FALSE	FALSE	NA
GCF_013282805.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hominis_B	FALSE	FALSE	FALSE	NA
GCF_017831975.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium terrae	FALSE	FALSE	FALSE	NA
GCF_004362195.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004362195	FALSE	FALSE	FALSE	NA
GCF_006715675.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715675	FALSE	FALSE	FALSE	NA
GCF_011046485.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp011046485	FALSE	FALSE	FALSE	NA
GCF_011759705.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ulmi	FALSE	FALSE	FALSE	NA
GCF_900155915.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900155915	FALSE	FALSE	FALSE	NA
GCF_013409785.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium immunditiarum	FALSE	FALSE	FALSE	NA
GCF_013410955.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp013410955	FALSE	FALSE	FALSE	NA
GCF_003850245.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003850245	FALSE	FALSE	FALSE	NA
GCF_006715565.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp006715565	FALSE	FALSE	FALSE	NA
GCF_015565955.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium schleiferi	FALSE	FALSE	FALSE	NA
GCA_001898325.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001898325	FALSE	FALSE	FALSE	NA
GCA_002313585.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002313585	FALSE	FALSE	FALSE	NA
GCF_003931875.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003931875	FALSE	FALSE	FALSE	NA
GCF_004564355.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium wangchenii	FALSE	FALSE	FALSE	NA
GCF_008727775.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lushaniae	FALSE	FALSE	FALSE	NA
GCF_003635115.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003635115	FALSE	FALSE	FALSE	NA
GCF_003095395.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003095395	FALSE	FALSE	FALSE	NA
GCF_008017415.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hatanonis	FALSE	FALSE	FALSE	NA
GCF_005774735.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp005774735	FALSE	FALSE	FALSE	NA
GCF_004022425.1	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium enclense_A	FALSE	FALSE	FALSE	NA
